0.211531	tick
1.730469	tick
3.010104	tick
3.654229	tick
4.185427	tick
4.290344	tick
5.567052	tick
6.207490	tick
6.850875	tick
7.365021	tick
7.486375	tick
8.130844	tick
8.766885	tick
10.047427	tick
10.692427	tick
11.223604	tick
11.328708	tick
12.605385	tick
12.625469	tick
13.245094	tick
13.889479	tick
14.403615	tick
14.525448	tick
15.138677	tick
15.168990	tick
15.806104	tick
17.085229	tick
17.731031	tick
18.261635	tick
18.366708	tick
19.644177	tick
19.664177	tick
20.283969	tick
20.928365	tick
21.442667	tick
21.564042	tick
22.177323	tick
22.208052	tick
22.844073	tick
24.124042	tick
24.768531	tick
25.301562	tick
25.405917	tick
26.682656	tick
26.702656	tick
27.322448	tick
27.966875	tick
28.481260	tick
28.602604	tick
29.215875	tick
29.246677	tick
29.882208	tick
31.164313	tick
31.807094	tick
32.340552	tick
32.444906	tick
33.721750	tick
34.360979	tick
35.004771	tick
35.519844	tick
35.641260	tick
36.285271	tick
36.921292	tick
38.202792	tick
38.845156	tick
39.379135	tick
39.482927	tick
40.760385	tick
40.782292	tick
41.399594	tick
42.043729	tick
42.558500	tick
42.679812	tick
43.323865	tick
43.959896	tick
45.241583	tick
45.884781	tick
46.416000	tick
46.521292	tick
47.798344	tick
47.818500	tick
48.439198	tick
49.082365	tick
49.596604	tick
49.718021	tick
50.332865	tick
50.362469	tick
50.998031	tick
52.280156	tick
52.923271	tick
53.455958	tick
53.560448	tick
54.837604	tick
55.479583	tick
